  , sub_id, age, sex   , normal / corrected sight, handedness, block          , trial, reaction_time     , E_amount_answer, E_counter, is_corr
 0,     01,  50, female, yes                     , right     , clock timer    ,     1, 30.137425624999878, 11             ,        11, 1
 1,     01,  50, female, yes                     , right     , clock timer    ,     2, 34.59121283333343 , 13             ,        13, 1
 2,     01,  50, female, yes                     , right     , clock timer    ,     3, 31.635617583333328, 10             ,        10, 1
 3,     01,  50, female, yes                     , right     , clock timer    ,     4, 33.535323333333395, 8              ,         8, 1
 4,     01,  50, female, yes                     , right     , clock timer    ,     5, 32.97151208333332 , 11             ,        11, 1
 5,     01,  50, female, yes                     , right     , clock timer    ,     6, 29.55092441666659 , 13             ,        13, 1
 6,     01,  50, female, yes                     , right     , clock timer    ,     7, NA                , 10             ,        13, 0
 7,     01,  50, female, yes                     , right     , countdown timer,     1, 29.372788000000014, 9              ,         9, 1
 8,     01,  50, female, yes                     , right     , countdown timer,     2, 28.769880374999957, 12             ,        13, 0
 9,     01,  50, female, yes                     , right     , countdown timer,     3, 28.8843618333334  , 11             ,        11, 1
10,     01,  50, female, yes                     , right     , countdown timer,     4, 29.03545399999996 , 11             ,        11, 1
11,     01,  50, female, yes                     , right     , countdown timer,     5, 26.2474881666667  , 11             ,        11, 1
12,     01,  50, female, yes                     , right     , countdown timer,     6, 26.32044220833336 , 12             ,        13, 0
13,     01,  50, female, yes                     , right     , countdown timer,     7, 23.419303333333346, 8              ,         8, 1
14,     01,  50, female, yes                     , right     , countdown timer,     8, 25.96280066666668 , 11             ,        12, 0
15,     01,  50, female, yes                     , right     , no timer       ,     1, 26.93882045833311 , 12             ,        12, 1
16,     01,  50, female, yes                     , right     , no timer       ,     2, 28.439146666666602, 8              ,         8, 1
17,     01,  50, female, yes                     , right     , no timer       ,     3, 25.891334749999942, 9              ,         9, 1
18,     01,  50, female, yes                     , right     , no timer       ,     4, 28.503695791666814, 12             ,        12, 1
19,     01,  50, female, yes                     , right     , no timer       ,     5, 28.082818124999903, 10             ,        10, 1
20,     01,  50, female, yes                     , right     , no timer       ,     6, 28.364690624999866, 13             ,        13, 1
21,     01,  50, female, yes                     , right     , no timer       ,     7, 33.559198416666504, 8              ,         8, 1
22,     01,  50, female, yes                     , right     , no timer       ,     8, NA                , NA             ,        11, NA
