  , sub_id, age, sex , normal / corrected sight, handedness, block               , trial, reaction_time     , max_time          , E_amount_answer, E_counter, is_corr, answer_in_time
 0,     02,  56, male, yes                     , right     , low time pressure   ,     1, 24.125902416666577, 28.784959115115438,              13,        13,       1,              1
 1,     02,  56, male, yes                     , right     , low time pressure   ,     2, 27.02405974999965 , 28.784959115115438,               9,         9,       1,              1
 2,     02,  56, male, yes                     , right     , low time pressure   ,     3, 26.36147879166674 , 28.784959115115438,               8,         8,       1,              1
 3,     02,  56, male, yes                     , right     , low time pressure   ,     4, 26.50495304166634 , 28.784959115115438,               8,         8,       1,              1
 4,     02,  56, male, yes                     , right     , low time pressure   ,     5, 27.06313987499925 , 28.784959115115438,              10,        10,       1,              1
 5,     02,  56, male, yes                     , right     , low time pressure   ,     6, 26.413575250000576, 28.784959115115438,               8,         9,       0,              1
 6,     02,  56, male, yes                     , right     , low time pressure   ,     7, 26.76053308333394 , 28.784959115115438,               7,         8,       0,              1
 7,     02,  56, male, yes                     , right     , low time pressure   ,     8, 27.247490624999955, 28.784959115115438,              12,        12,       1,              1
 8,     02,  56, male, yes                     , right     , low time pressure   ,     9, 27.61070695833314 , 28.784959115115438,              13,        13,       1,              1
 9,     02,  56, male, yes                     , right     , medium time pressure,     1, 23.897904666667273, 26.146461952898612,               9,         9,       1,              1
10,     02,  56, male, yes                     , right     , medium time pressure,     2, 23.92788183333232 , 26.146461952898612,              10,        10,       1,              1
11,     02,  56, male, yes                     , right     , medium time pressure,     3, 26.01449537500048 , 26.146461952898612,               8,         8,       1,              1
12,     02,  56, male, yes                     , right     , medium time pressure,     4, 24.79203079166564 , 26.146461952898612,               8,         8,       1,              1
13,     02,  56, male, yes                     , right     , medium time pressure,     5, 25.184310166666364, 26.146461952898612,              12,        12,       1,              1
14,     02,  56, male, yes                     , right     , medium time pressure,     6, 24.95971337500032 , 26.146461952898612,              13,        13,       1,              1
15,     02,  56, male, yes                     , right     , medium time pressure,     7, 25.045468083332707, 26.146461952898612,               8,         8,       1,              1
16,     02,  56, male, yes                     , right     , medium time pressure,     8, 25.232618708333575, 26.146461952898612,              11,        11,       1,              1
17,     02,  56, male, yes                     , right     , medium time pressure,     9, 25.039784749999853, 26.146461952898612,              12,        12,       1,              1
18,     02,  56, male, yes                     , right     , high time pressure  ,     1, 22.286615750000237, 23.507964790681786,               8,         8,       1,              1
19,     02,  56, male, yes                     , right     , high time pressure  ,     2, 22.644573541666432, 23.507964790681786,              12,        12,       1,              1
20,     02,  56, male, yes                     , right     , high time pressure  ,     3, 22.846631750000597, 23.507964790681786,              12,        13,       0,              1
21,     02,  56, male, yes                     , right     , high time pressure  ,     4, 23.507964790681786, 23.507964790681786,              13,        13,       1,              0
22,     02,  56, male, yes                     , right     , high time pressure  ,     5, 22.68969833333358 , 23.507964790681786,               9,         9,       1,              1
23,     02,  56, male, yes                     , right     , high time pressure  ,     6, 22.610656583332457, 23.507964790681786,              13,        13,       1,              1
24,     02,  56, male, yes                     , right     , high time pressure  ,     7, 22.416717625000274, 23.507964790681786,              10,        10,       1,              1
25,     02,  56, male, yes                     , right     , high time pressure  ,     8, 23.53611554166673 , 23.507964790681786,              11,        11,       1,              0
26,     02,  56, male, yes                     , right     , high time pressure  ,     9, 22.47431566666637 , 23.507964790681786,              13,        13,       1,              1
27,     02,  56, male, yes                     , right     , high time pressure  ,    10, 22.281532166667603, 23.507964790681786,               8,         8,       1,              1
