,sub_id,age,sex,normal / corrected sight,handedness,block,trial,reaction_time,max_time,E_amount_answer,E_counter,is_corr,answer_in_time
0,16,49,female,yes,right,medium time pressure,1,20.675312708306592,26.531124474635124,8,8,1,1
1,16,49,female,yes,right,medium time pressure,2,21.572935916658025,26.531124474635124,8,8,1,1
2,16,49,female,yes,right,medium time pressure,3,21.523149916669354,26.531124474635124,8,8,1,1
3,16,49,female,yes,right,medium time pressure,4,23.647314375033602,26.531124474635124,12,12,1,1
4,16,49,female,yes,right,medium time pressure,5,23.950064916629344,26.531124474635124,11,11,1,1
5,16,49,female,yes,right,medium time pressure,6,23.563202708319295,26.531124474635124,13,13,1,1
6,16,49,female,yes,right,medium time pressure,7,22.090094833343755,26.531124474635124,11,11,1,1
7,16,49,female,yes,right,medium time pressure,8,21.70139270828804,26.531124474635124,8,8,1,1
8,16,49,female,yes,right,medium time pressure,9,23.14779274998,26.531124474635124,13,13,1,1
9,16,49,female,yes,right,medium time pressure,10,22.596747250005137,26.531124474635124,13,13,1,1
10,16,49,female,yes,right,high time pressure,1,20.96436041663401,20.65999074621662,13,13,1,0
11,16,49,female,yes,right,high time pressure,2,20.869770416640677,20.65999074621662,11,11,1,0
12,16,49,female,yes,right,high time pressure,3,20.169160249992274,20.65999074621662,9,9,1,1
13,16,49,female,yes,right,high time pressure,4,20.71659083326813,20.65999074621662,9,9,1,0
14,16,49,female,yes,right,high time pressure,5,20.65999074621662,20.65999074621662,11,11,1,0
15,16,49,female,yes,right,high time pressure,6,19.820680125034414,20.65999074621662,11,11,1,1
16,16,49,female,yes,right,high time pressure,7,18.839677333366126,20.65999074621662,9,9,1,1
17,16,49,female,yes,right,high time pressure,8,17.399736208375543,20.65999074621662,9,9,1,1
18,16,49,female,yes,right,high time pressure,9,18.360114791605156,20.65999074621662,12,13,0,1
19,16,49,female,yes,right,high time pressure,10,19.18807091662893,20.65999074621662,12,12,1,1
20,16,49,female,yes,right,high time pressure,11,20.65999074621662,20.65999074621662,13,13,1,0
21,16,49,female,yes,right,low time pressure,1,19.33374883333454,32.40225820305363,9,9,1,1
22,16,49,female,yes,right,low time pressure,2,21.215384541719686,32.40225820305363,8,8,1,1
23,16,49,female,yes,right,low time pressure,3,22.369670041662175,32.40225820305363,12,12,1,1
24,16,49,female,yes,right,low time pressure,4,21.535720083396882,32.40225820305363,13,13,1,1
25,16,49,female,yes,right,low time pressure,5,23.777155458345078,32.40225820305363,12,12,1,1
26,16,49,female,yes,right,low time pressure,6,23.030296833312605,32.40225820305363,12,12,1,1
27,16,49,female,yes,right,low time pressure,7,23.62749895825982,32.40225820305363,13,13,1,1
28,16,49,female,yes,right,low time pressure,8,22.384628041705582,32.40225820305363,10,11,0,1
29,16,49,female,yes,right,low time pressure,9,20.830462125013582,32.40225820305363,8,8,1,1
30,16,49,female,yes,right,low time pressure,10,21.906243958335835,32.40225820305363,12,12,1,1
